Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep
201300000149,13,2,5,515,3,2,1,3,1,026,11 Route Nationale,M,5026899,0316101,590
201300000150,13,3,9,1845,5,1,9,2,1,228,Route de Dechy,M,5033568,0309021,590
201300000151,13,4,7,915,1,1,1,1,6,015,Rte de Bugnicourt,M,5028332,0312621,590
201300000152,13,9,22,530,5,2,1,2,6,409,rue de Masny,M,5031286,0320743,590
201300000153,13,11,21,30,3,1,1,5,6,228,Rte départementale,M,5033537,0310124,590
201300000154,13,1,5,1745,3,1,1,8,6,449,,M,5046464,0321740,590
201300000155,13,2,22,1945,5,2,1,1,1,449,rue Jules Rieu - CD 938,M,5047999,0324712,590
201300000156,13,7,9,2145,2,2,1,1,6,435,Rue de Lannay,M,5050395,0329071,590
201300000157,13,10,27,145,3,1,1,1,6,435,8 Rue de Tournai,M,5050762,0327069,590
201300000158,13,1,5,2145,3,1,1,2,7,618,Rue de Maubeuge,M,5032575,0403024,590
201300000159,13,3,3,1215,1,2,1,1,6,264,21 Rue de la Liberté,M,5033192,0394483,590
201300000160,13,7,20,130,3,2,1,1,7,627,Rue des Cachés,M,5034015,0400991,590
201300000161,13,7,24,2030,1,1,1,1,3,584,Voie communale Brunehaut,M,5031662,0386561,590
201300000162,13,10,12,30,5,2,1,1,6,618,20 bis rue de Marpent,M,5032718,0404721,590
201300000163,13,11,17,2345,5,2,1,1,6,370,59 rue Haute,M,5030861,0398808,590
201300000164,13,12,17,1315,1,2,1,1,6,053,20 rue Pierre Mathieux,M,5029795,0379572,590
201300000165,13,12,21,2215,3,1,1,1,7,618,rue de Marpent,M,5031711,0405307,590
201300000166,13,3,27,1145,3,1,1,1,1,481,Rte départementale,M,5024164,0362849,590
201300000167,13,7,20,1715,1,2,1,1,6,639,14 grand rue,M,5030571,0366141,590
201300000168,13,8,27,30,3,1,1,1,6,640,Rue de Cavin,M,5029398,0366010,590
201300000169,13,12,14,1745,3,2,1,2,7,473,chemin du Bois St-Pierre,M,5029637,0370401,590
201300000170,13,4,16,1445,1,1,1,1,1,058,,M,5021263,0394912,590
201300000171,13,12,20,2030,3,1,1,1,5,058,Rte Nationale,M,5022536,0394780,590
201300000172,13,3,24,1300,1,1,9,1,7,233,,M,0000000,0000000,620
201300000173,13,4,5,815,1,1,1,1,7,815,,M,0000000,0000000,620
201300000174,13,7,11,1330,1,1,1,1,6,752,,M,0000000,0000000,620
201300000175,13,7,30,1700,1,1,1,3,3,867,,M,0000000,0000000,620
201300000176,13,9,6,1700,1,1,1,8,6,604,,M,0000000,0000000,620
201300000177,13,9,29,545,3,1,1,1,6,156,,M,0000000,0000000,620
201300000178,13,11,8,1115,1,1,1,1,1,603,,M,0000000,0000000,620
201300000179,13,6,29,1515,1,2,1,1,3,909,INTER WATEL ET ROUET,M,5006378,0299440,620
201300000180,13,8,29,800,1,1,1,5,2,515,,M,0000000,0000000,620
201300000181,13,10,3,1445,1,1,1,1,3,326,,M,0000000,0000000,620
201300000182,13,2,6,1215,1,2,1,1,6,279,8 Rue de Maroeuil,M,5032200,0269300,620
201300000183,13,4,12,1515,1,1,2,1,3,404,,M,0000000,0000000,620
201300000184,13,6,18,1215,1,1,1,1,2,115,,M,5026200,0269200,620
201300000185,13,7,22,2145,2,2,1,1,3,068,Route Nationale,M,0000000,0000000,620
201300000186,13,9,26,1700,1,1,1,1,1,869,,M,0000000,0000000,620
201300000187,13,11,18,645,3,1,1,2,1,583,,M,0000000,0000000,620
201300000188,13,1,2,1630,1,1,1,1,7,213,,M,0000000,0000000,620
201300000189,13,2,6,1745,2,1,1,2,1,861,,M,0000000,0000000,620
201300000190,13,5,3,1245,1,1,1,1,6,609,,M,5036700,0276600,620
201300000191,13,6,6,115,3,1,1,1,6,714,,,,,620
201300000192,13,9,26,1830,1,1,1,1,1,213,,M,5037500,0271900,620
201300000193,13,9,29,1700,1,1,2,1,3,213,,M,5037200,0272500,620
201300000194,13,2,13,730,2,1,1,1,1,414,,M,5023886,0297701,620
201300000195,13,3,31,2230,3,1,1,1,2,172,,M,0000000,0000000,620
201300000196,13,5,1,2000,1,1,1,2,6,839,,M,0000000,0000000,620
201300000197,13,6,12,1200,1,1,1,1,3,414,,M,5023500,0297900,620
201300000198,13,6,22,15,3,1,9,1,1,384,,M,5015026,0308157,620
201300000199,13,7,1,1645,1,2,1,1,1,306,RD917,M,5016900,0282400,620
201300000200,13,7,28,1130,1,1,1,1,1,298,,M,5023600,0317500,620
201300000201,13,8,7,1900,1,1,1,1,7,728,,M,5024100,0305100,620
201300000202,13,8,15,1800,1,2,1,1,2,484,,M,5016000,0295800,620
201300000203,13,9,3,2345,3,1,1,1,7,673,,M,5019300,0297200,620
201300000204,13,9,4,1230,1,1,1,1,7,259,,M,5019900,0289100,620
201300000205,13,11,8,2100,5,2,2,2,6,259,37 rue d' ARRAS,M,5020081,0287335,620
201300000206,13,12,9,1445,1,1,1,1,3,331,,M,0000000,0000000,620
201300000207,13,12,24,815,1,2,1,1,6,081,D 14,M,0000000,0000000,620
201300000208,13,6,17,815,1,2,1,1,3,173,RD 950,M,0000000,0000000,620
201300000209,13,12,4,1315,1,1,1,1,6,355,,M,0000000,0000000,620
201300000210,13,6,28,1900,1,2,1,2,3,620,RUE DE MOLINGHEM CD 91 E,M,0000000,0000000,620
201300000211,13,6,30,1500,1,1,1,1,1,564,,M,0000000,0000000,620
201300000212,13,7,6,1415,1,1,1,1,6,720,,M,0000000,0000000,620
201300000213,13,1,12,1400,1,1,2,2,3,706,,M,0000000,0000000,620
201300000214,13,8,28,1615,1,1,1,1,3,491,,M,0000000,0000000,620
201300000215,13,10,20,800,2,1,1,1,6,606,,M,0000000,0000000,620
201300000216,13,11,28,1615,2,1,1,8,6,491,,M,0000000,0000000,620
201300000217,13,12,21,1715,3,2,1,2,6,502,route de B?thune,M,0000000,0000000,620
201300000218,13,5,19,1900,1,1,1,1,7,524,,M,0000000,0000000,620
201300000219,13,8,24,245,3,1,1,1,3,104,,M,0000000,0000000,620
201300000220,13,9,3,715,2,1,1,5,2,214,,M,0000000,0000000,620
201300000221,13,10,29,1915,5,2,1,1,2,268,rue de la gare,M,0000000,0000000,620
201300000222,13,11,16,45,3,2,1,5,3,075,Fortmahon,M,0000000,0000000,620
201300000223,13,12,2,1545,1,2,1,1,6,773,D901 ROUTE DE MONTREUIL,M,0000000,0000000,620
201300000224,13,1,1,200,3,1,1,2,7,560,,M,0000000,0000000,620
201300000225,13,1,10,1900,5,2,1,1,1,711,Rue Salengro,M,0000000,0000000,620
201300000226,13,1,17,930,1,1,2,8,3,705,,M,0000000,0000000,620
201300000227,13,5,9,1300,1,1,1,1,3,899,,M,0000000,0000000,620
201300000228,13,8,12,930,1,1,1,1,6,705,,M,5077370,0178425,620
201300000229,13,8,21,1145,1,1,1,7,6,560,,M,0000000,0000000,620
201300000230,13,10,29,1345,1,1,2,1,3,705,,M,5079684,0176477,620
201300000231,13,11,21,1200,1,1,2,1,3,705,,M,5079686,0176436,620
201300000232,13,12,17,1015,2,2,1,8,3,560,,M,0000000,0000000,620
201300000233,13,1,3,1630,1,1,1,2,1,235,,M,0000000,0000000,620
201300000234,13,4,8,1200,1,2,9,1,1,604,avenue fran?ois 1er,M,0000000,0000000,620
201300000235,13,9,24,1445,1,1,3,5,3,604,,M,0000000,0000000,620
201300000236,13,4,6,1830,1,1,1,1,7,693,,M,0000000,0000000,620
201300000237,13,6,23,730,2,2,1,2,7,693,Route de Baraffle,M,5043700,0256100,620
201300000238,13,7,11,530,2,1,1,1,7,693,,M,0000000,0000000,620
201300000239,13,7,28,1230,1,1,1,7,3,170,,M,5042600,0265500,620
201300000240,13,5,29,1945,2,1,1,3,3,206,,M,5043900,0171400,620
201300000241,13,6,25,1900,1,1,1,1,1,207,,M,0000000,0000000,620
201300000242,13,11,4,700,3,1,1,3,6,527,,M,0000000,0000000,620
201300000243,13,7,8,15,3,2,1,1,6,547,Rue Gallion,M,0000000,0000000,620
201300000244,13,3,11,1400,1,1,1,4,1,460,,M,5059100,0174000,620
201300000245,13,4,15,1100,1,1,1,1,1,201,,M,5058122,0160363,620
201300000246,13,5,9,1715,1,1,1,1,3,318,,M,0000000,0000000,620
201300000247,13,8,4,1845,1,2,1,1,6,201,70 rue du vieux moulin,M,0000000,0000000,620
201300000248,13,12,7,1145,1,1,1,1,6,318,,M,0000000,0000000,620
201300000249,13,8,25,2030,1,1,1,1,6,538,,M,0000000,0000000,620
201300000250,13,2,9,730,2,1,1,4,7,275,,M,0000000,0000000,620
201300000251,13,2,20,1715,1,1,1,1,1,461,,M,5039268,0204081,620
201300000252,13,3,4,930,1,1,1,1,5,685,,M,0000000,0000000,620
201300000253,13,6,4,1645,1,2,1,1,3,552,,M,5041900,0191100,620
201300000254,13,6,21,1630,1,2,2,1,3,220,Rue Principale,M,5042700,0201399,620
201300000255,13,6,26,1215,1,1,1,1,1,293,,M,5049200,0197400,620
201300000256,13,9,5,1545,1,2,1,7,6,768,10 grande rue,M,5037200,0187500,620
201300000257,13,9,29,1745,1,1,1,1,7,204,,M,0000000,0000000,620
201300000258,13,9,30,745,1,2,1,1,6,100,route de Campagne,M,5042005,0188809,620
201300000259,13,11,9,1830,3,1,1,2,3,872,,M,5041090,0204700,620
201300000260,13,11,15,1800,5,2,1,1,6,447,bld de la meilleraye,M,5037700,0203900,620
201300000261,13,1,5,1545,2,2,1,1,6,014,rue d 'isbergues,M,5063904,0240343,620
201300000262,13,7,11,1845,1,2,1,1,6,014,rue Alsace Lorraine,M,5064200,0239000,620
201300000263,13,7,12,1130,1,1,1,1,1,014,,M,5062800,0239300,620
201300000264,13,10,1,430,3,2,1,1,6,567,233 rue d'Amont,M,0000000,0000000,620
201300000265,13,11,9,1130,1,2,6,8,3,038,intersection 943 et 227,M,0000000,0000000,620
201300000266,13,1,28,1415,1,1,1,1,5,760,,M,0000000,0000000,620
201300000267,13,2,19,2015,5,2,1,1,3,325,rue de st omer,M,0000000,0000000,620
201300000268,13,3,12,1815,1,2,1,4,6,704,place de l'?glise,M,5058268,0207208,620
201300000269,13,4,28,1000,1,1,3,1,3,760,,M,0000000,0000000,620
201300000270,13,5,1,800,1,2,1,1,6,254,D157,M,0000000,0000000,620
201300000271,13,6,12,830,1,1,1,1,3,325,,M,0000000,0000000,620
201300000272,13,6,17,1945,1,2,1,1,6,760,rue de l'?glise,M,0000000,0000000,620
201300000273,13,6,25,1515,1,1,1,1,5,812,,M,0000000,0000000,620
201300000274,13,8,23,1530,1,1,1,1,2,336,,M,0000000,0000000,620
201300000275,13,9,28,1700,5,2,1,1,3,613,route de lumbres - CD202,M,0000000,0000000,620
201300000276,13,10,4,2115,3,1,1,1,6,696,,M,0000000,0000000,620
201300000277,13,11,27,1515,1,1,1,1,3,271,,M,0000000,0000000,620
201300000278,13,12,10,1730,1,1,1,1,6,704,,M,0000000,0000000,620
201300000279,13,1,4,1830,5,2,1,1,6,882,rue Bernard Chochoy,M,0000000,0000000,620
201300000280,13,1,5,1130,1,1,2,1,3,088,,M,0000000,0000000,620
201300000281,13,1,18,745,2,1,1,4,1,229,,M,0000000,0000000,620
201300000282,13,7,22,1330,1,2,3,7,3,656,Inters D 192 / D 928,M,5067555,0219714,620
201300000283,13,9,22,1615,3,1,1,1,6,644,,M,5065526,0214293,620
201300000284,13,11,2,1830,5,1,1,3,7,504,,M,5072423,0217147,620
201300000285,13,11,30,1000,1,2,1,8,3,419,cd 216,M,0000000,0000000,620
201300000286,13,1,16,1800,2,1,1,8,7,269,,M,0000000,0000000,620
201300000287,13,1,30,930,1,1,1,2,3,655,,M,0000000,0000000,620
201300000288,13,2,1,1600,1,1,1,1,1,872,,M,5041900,0204999,620
201300000289,13,2,14,1515,1,2,1,1,6,767,34 rue de Canteraine,M,5037900,0233400,620
201300000290,13,3,7,2145,3,1,1,1,6,514,,M,5036900,0243200,620
201300000291,13,4,18,1745,1,1,1,1,6,282,,M,5040500,0218000,620
201300000292,13,5,6,730,1,1,1,1,2,763,,M,5037100,0236400,620
201300000293,13,7,5,1945,1,1,1,1,3,652,,M,0000000,0000000,620
201300000294,13,7,7,515,2,2,1,1,6,767,rue de bethune,M,5038700,0234100,620
201300000295,13,8,14,745,1,1,1,1,1,166,,M,0000000,0000000,620
201300000296,13,8,15,1345,1,1,1,1,3,260,,M,5039000,0225200,620
201300000297,13,10,31,2245,3,1,1,1,6,260,,M,0000000,0000000,620
201300000298,13,11,11,1415,1,1,1,1,7,450,,M,0000000,0000000,620
201300000299,13,11,15,730,2,2,1,2,6,767,rue du 8 mai 1945,M,5038100,0233000,620
201300000300,13,1,12,545,3,1,1,1,6,415,,M,5034000,0262500,620
201300000301,13,1,29,1530,1,1,1,2,4,415,,M,5033300,0265000,620
201300000302,13,2,12,1800,2,2,1,1,6,070,CD 83,M,0000000,0000000,620
201300000303,13,5,30,645,2,1,1,2,6,385,,M,5025300,0246700,620
201300000304,13,6,24,1845,1,1,1,1,1,630,,M,0000000,0000000,620
201300000305,13,7,3,45,3,1,1,2,1,063,,M,5027406,0255513,620
201300000306,13,8,2,1415,1,2,1,1,6,063,route de frevent,M,0000000,0000000,620
201300000307,13,8,26,945,1,1,1,1,6,086,,M,5019900,0251300,620
201300000308,13,9,23,1615,1,1,1,1,3,415,,M,5033600,0264300,620
201300000309,13,10,13,2115,3,1,1,2,1,820,,M,5035847,0246616,620
201300000310,13,10,19,1345,1,1,1,2,2,477,,M,5031400,0253400,620
201300000311,13,10,30,1130,1,1,1,1,1,820,,M,5035764,0247026,620
201300000312,13,8,5,1845,1,2,1,1,6,475,13 rue principale,M,0000000,0000000,620
