Num_Acc,senc,catv,occutc,obs,obsm,choc,manv,num_veh
201100000049,0,33,000,00,2,1,17,A01
201100000050,0,07,000,00,2,2,01,B02
201100000050,0,07,000,00,2,3,17,A01
201100000051,0,21,000,00,2,8,15,A01
201100000051,0,33,000,00,2,7,01,B02
201100000052,0,07,000,01,2,1,13,A01
201100000052,0,07,000,00,2,8,00,B02
201100000053,0,33,000,06,0,1,14,A01
201100000054,0,07,000,00,2,1,01,A01
201100000054,0,21,000,00,2,1,01,B02
201100000055,0,07,000,01,0,1,14,A01
201100000056,0,10,000,00,0,1,15,A01
201100000056,0,30,000,00,2,1,01,B02
201100000057,0,10,000,00,2,2,00,B02
201100000057,0,07,000,00,2,2,00,A01
201100000058,0,07,000,00,1,3,01,A01
201100000059,0,33,000,13,2,1,13,A01
201100000059,0,07,000,00,2,3,01,B02
201100000060,0,01,000,00,2,8,01,B02
201100000060,0,07,000,00,2,7,01,A01
201100000061,0,07,000,13,0,2,01,A01
201100000062,0,07,000,13,0,3,13,A01
201100000063,0,07,000,00,0,4,24,C03
201100000063,0,07,000,00,0,8,01,A01
201100000063,0,07,000,00,0,4,24,B02
201100000064,0,07,000,00,2,8,15,B02
201100000064,0,31,000,00,2,2,17,A01
201100000065,0,30,000,00,2,1,16,A01
201100000065,0,07,000,00,2,1,17,B02
201100000066,0,07,000,13,0,1,00,A01
201100000067,0,33,000,00,2,1,01,B02
201100000067,0,07,000,00,2,1,15,A01
201100000068,0,07,000,00,2,3,01,B02
201100000068,0,07,000,00,2,3,01,A01
201100000069,0,33,000,00,1,1,01,A01
201100000070,0,07,000,00,2,1,15,A01
201100000070,0,02,000,00,2,4,01,B02
201100000071,0,07,000,00,2,2,01,A01
201100000071,0,07,000,00,2,3,15,B02
201100000072,0,07,000,06,0,1,01,A01
201100000073,0,07,000,00,2,3,01,A01
201100000073,0,14,000,00,2,3,01,C03
201100000073,0,14,000,00,2,3,01,B02
201100000074,0,33,000,13,0,1,01,A01
201100000075,0,07,000,00,0,3,10,A01
201100000075,0,33,000,00,0,1,13,B02
201100000076,0,30,000,00,2,1,15,B02
201100000076,0,07,000,00,0,2,17,A01
201100000077,0,07,000,02,0,1,02,A01
201100000078,0,30,000,13,0,1,01,A01
201100000079,0,07,000,13,0,1,01,A01
201100000080,0,07,000,00,2,2,19,B02
201100000080,0,07,000,00,2,8,01,A01
201100000081,0,07,000,00,2,3,01,B02
201100000081,0,07,000,00,2,2,15,A01
201100000082,0,07,000,08,0,1,14,A01
201100000083,0,07,000,00,2,1,02,B02
201100000083,0,10,000,15,0,8,02,A01
201100000084,0,07,000,00,2,3,01,A01
201100000084,0,07,000,00,2,3,01,B02
201100000085,0,07,000,13,0,8,13,A01
201100000086,0,07,000,00,2,2,15,A01
201100000086,0,30,000,00,0,1,01,B02
201100000087,0,07,000,00,2,8,02,A01
201100000087,0,30,000,00,2,1,02,B02
201100000088,0,37,000,00,1,3,17,A01
201100000089,0,07,000,02,0,7,01,A01
201100000090,0,10,000,00,1,2,16,A01
201100000091,0,33,000,13,0,1,17,A01
201100000092,0,30,000,13,0,1,01,A01
201100000093,0,36,000,00,0,9,00,A01
201100000094,0,07,000,00,1,3,01,A01
201100000095,0,33,000,00,2,1,17,A01
201100000095,0,07,000,00,2,3,15,B02
201100000096,0,07,000,00,2,1,15,B02
201100000096,0,33,000,00,2,1,21,A01
201100000097,0,33,000,16,0,9,01,A01
201100000098,0,01,000,00,0,3,01,B02
201100000098,0,07,000,00,0,8,13,A01
201100000099,0,21,000,00,2,8,01,A01
201100000099,0,01,000,00,2,8,01,B02
201100000100,0,07,000,00,0,9,01,A01
201100000101,0,33,000,00,0,7,01,A01
201100000102,0,30,000,00,0,1,01,A01
201100000102,0,10,000,00,0,3,23,B02
201100000103,0,07,000,16,0,9,00,A01
201100000104,0,07,000,06,0,2,01,A01
201100000105,0,07,000,16,0,9,01,A01
201100000106,0,07,000,00,2,3,19,B02
201100000106,0,30,000,00,2,1,01,A01
201100000107,0,07,000,00,2,3,09,A01
201100000107,0,30,000,00,2,1,01,B02
201100000108,0,32,000,00,2,1,01,B02
201100000108,0,14,000,00,9,3,10,A01
201100000109,0,07,000,00,2,1,02,A01
201100000109,0,07,000,00,2,1,01,B02
201100000110,0,07,000,00,2,2,19,A01
201100000110,0,07,000,00,2,1,01,B02
201100000111,0,02,000,00,2,1,13,A01
201100000111,0,07,000,00,2,1,01,B02
201100000112,0,15,000,00,1,2,02,A01
201100000113,0,07,000,00,0,5,15,B02
201100000113,0,33,000,00,2,1,01,A01
201100000114,0,02,000,00,2,1,00,B02
201100000114,0,07,000,00,2,3,15,A01
201100000115,0,33,000,00,2,1,01,B02
201100000115,0,07,000,00,2,5,15,A01
201100000116,0,30,000,13,0,1,00,A01
201100000117,0,10,000,00,2,1,01,A01
201100000117,0,31,000,00,2,1,13,B02
201100000118,0,07,000,00,0,3,13,A01
201100000118,0,07,000,00,0,2,01,B02
201100000119,0,07,000,00,0,7,15,A01
201100000119,0,15,000,00,0,1,01,B02
201100000120,0,07,000,00,1,2,19,A01
201100000121,0,07,000,00,1,2,01,A01
201100000122,0,07,000,01,1,1,01,A01
201100000123,0,10,000,00,2,3,01,B02
201100000123,0,10,000,00,2,1,00,A01
201100000124,0,36,000,08,0,1,02,A01
201100000125,0,31,000,06,0,1,19,A01
201100000126,0,02,000,00,2,4,15,A01
201100000126,0,07,000,00,2,1,01,B02
201100000127,0,07,000,00,1,2,01,A01
201100000128,0,13,000,08,0,8,01,A01
201100000129,0,17,000,00,0,3,17,B02
201100000129,0,07,000,00,2,2,17,A01
201100000130,0,07,000,00,2,3,00,A01
201100000130,0,07,000,00,2,3,00,B02
201100000131,0,07,000,00,2,7,13,B02
201100000131,0,07,000,02,2,8,01,A01
201100000132,0,10,000,00,2,1,17,A01
201100000132,0,30,000,00,0,4,13,B02
201100000133,0,07,000,00,2,6,15,A01
201100000133,0,10,000,00,2,1,01,B02
201100000134,0,07,000,00,2,2,01,A01
201100000134,0,31,000,00,0,7,15,B02
201100000135,0,07,000,06,0,1,01,A01
201100000136,0,07,000,00,1,4,23,A01
201100000136,0,07,000,00,2,1,01,B02
201100000137,0,07,000,00,0,3,15,A01
201100000137,0,33,000,00,0,1,17,B02
201100000138,0,07,000,00,1,1,01,A01
201100000139,0,30,000,00,2,1,13,A01
201100000139,0,07,000,00,2,3,01,B02
201100000140,0,02,000,13,0,1,02,A01
201100000141,0,07,000,02,0,1,01,A01
201100000142,0,33,000,00,5,1,00,A01
201100000143,0,07,000,01,0,1,14,A01
201100000144,0,21,000,00,2,2,15,A01
201100000144,0,30,000,00,2,1,00,B02
201100000145,0,07,000,00,2,3,01,A01
201100000145,0,07,000,00,2,3,01,B02
201100000146,0,07,000,13,0,1,00,A01
201100000147,0,07,000,00,2,1,01,B02
201100000147,0,07,000,00,2,1,01,A01
201100000148,0,33,000,06,0,1,00,A01
201100000149,0,30,000,00,2,1,01,A01
201100000149,0,07,000,00,0,2,00,B02
201100000150,0,30,000,00,2,1,11,A01
201100000150,0,10,000,00,2,1,12,B02
201100000151,0,10,000,00,2,1,15,A01
201100000151,0,33,000,00,2,1,01,B02
201100000152,0,31,000,00,2,3,01,B02
201100000152,0,10,000,00,2,3,15,A01
201100000153,0,10,000,00,2,1,01,A01
201100000153,0,10,000,00,2,4,01,B02
201100000153,0,07,000,00,2,1,01,C03
201100000154,0,33,000,07,0,1,01,A01
201100000155,0,10,000,00,9,2,01,A01
201100000155,0,01,000,00,0,1,00,B02
201100000156,0,17,000,00,1,3,01,A01
201100000157,0,07,000,00,1,2,01,A01
201100000158,0,10,000,00,0,0,23,B02
201100000158,0,07,000,00,1,2,17,A01
201100000159,0,07,000,00,2,3,15,B02
201100000159,0,30,000,00,2,1,17,A01
201100000160,0,32,000,00,1,1,01,A01
201100000161,0,33,000,00,2,3,21,A01
201100000161,0,17,000,00,2,6,15,B02
201100000162,0,07,000,00,1,3,01,A01
201100000163,0,07,000,00,2,3,19,B02
201100000163,0,03,000,00,2,7,01,A01
201100000164,0,07,000,00,0,1,02,A01
201100000164,0,07,000,00,0,4,02,B02
201100000165,0,07,000,00,1,7,01,A01
201100000166,0,07,000,00,1,2,01,A01
201100000167,0,07,000,02,0,2,14,A01
201100000168,0,02,000,00,2,1,01,B02
201100000168,0,07,000,00,0,2,15,A01
201100000169,0,07,000,02,0,8,01,A01
201100000170,0,01,000,00,2,7,01,A01
201100000170,0,14,000,00,9,1,01,B02
201100000171,0,07,000,00,2,2,01,A01
201100000171,0,30,000,00,2,3,01,B02
201100000172,0,33,000,12,0,4,15,A01
201100000173,0,07,000,13,0,9,01,A01
201100000174,0,07,000,00,2,8,01,B02
201100000174,0,33,000,13,2,8,01,A01
201100000175,0,07,000,00,1,1,01,A01
201100000176,0,07,000,16,0,9,01,A01
201100000177,0,02,000,00,0,4,01,A01
201100000177,0,07,000,00,2,3,01,B02
201100000177,0,07,000,14,0,1,01,C03
201100000178,0,14,000,00,2,7,14,A01
201100000178,0,33,000,00,2,8,02,B02
201100000179,0,14,000,13,0,7,01,A01
201100000180,0,33,000,00,2,4,00,B02
201100000180,0,33,000,00,2,1,00,A01
201100000181,0,33,000,13,0,7,19,A01
201100000182,0,07,000,08,0,1,01,A01
201100000183,0,33,000,13,0,8,19,A01
201100000184,0,07,000,00,1,2,15,A01
201100000185,0,02,000,00,2,1,05,A01
201100000185,0,07,000,00,2,3,21,C03
201100000185,0,07,000,00,1,1,01,B02
201100000186,0,07,000,00,2,3,01,B02
201100000186,0,07,000,00,2,3,01,A01
201100000187,0,10,000,09,0,9,17,A01
201100000188,0,07,000,00,2,1,01,A01
201100000188,0,01,000,00,2,3,09,B02
201100000189,0,07,000,04,0,2,15,A01
201100000189,0,07,000,04,0,1,01,B02
201100000190,0,30,000,00,0,1,00,A01
201100000191,0,07,000,00,2,2,01,B02
201100000191,0,07,000,00,2,3,01,C03
201100000191,0,33,000,00,2,1,19,A01
201100000192,0,07,000,01,0,2,01,A01
201100000193,0,30,000,00,2,4,02,A01
201100000193,0,07,000,00,2,2,02,B02
201100000194,0,07,000,00,1,2,01,A01
201100000195,0,01,000,00,2,1,13,A01
201100000195,0,07,000,00,2,1,01,B02
201100000196,0,10,000,02,0,1,01,A01
201100000197,0,07,000,02,0,7,14,A01
201100000198,0,07,000,06,0,8,13,A01
201100000199,0,33,000,00,2,1,01,B02
201100000199,0,07,000,00,2,3,06,A01
201100000200,0,07,000,00,2,8,15,B02
201100000200,0,30,000,00,2,7,17,A01
201100000201,0,07,000,06,0,1,00,A01
201100000202,0,01,000,00,2,1,17,A01
201100000202,0,07,000,00,9,8,01,B02
201100000203,0,33,000,00,2,8,01,A01
201100000204,0,07,000,00,0,1,17,A01
201100000205,0,07,000,03,0,3,02,A01
201100000206,0,07,000,03,0,2,01,A01
201100000207,0,07,000,04,0,1,21,A01
201100000208,0,07,000,00,2,7,17,A01
201100000208,0,14,000,00,2,8,01,B02
201100000209,0,07,000,03,0,1,01,A01
201100000210,0,07,000,04,0,3,02,A01
201100000211,0,07,000,03,0,3,01,A01
201100000212,0,10,000,13,0,1,17,A01
201100000213,0,33,000,00,2,1,01,A01
201100000213,0,07,000,00,2,2,15,B02
201100000214,0,07,000,02,0,0,01,A01
201100000215,0,07,000,00,1,2,02,A01
201100000216,0,07,000,00,2,7,01,C03
201100000216,0,07,000,00,2,1,01,A01
201100000216,0,07,000,00,2,3,15,B02
201100000217,0,07,000,00,9,1,01,A01
201100000217,0,01,000,00,2,4,00,B02
201100000218,0,07,000,06,0,3,13,A01
201100000219,0,07,000,00,0,4,01,B02
201100000219,0,07,000,00,2,1,01,A01
201100000219,0,07,000,00,2,1,13,C03
201100000220,0,10,000,02,0,3,13,A01
201100000221,0,07,000,00,1,2,01,A01
201100000222,0,07,000,00,2,3,17,A01
201100000222,0,07,000,00,2,3,00,B02
201100000223,0,14,000,00,2,3,01,B02
201100000223,0,07,000,00,2,1,01,C03
201100000223,0,10,000,00,2,3,13,A01
201100000224,0,33,000,06,0,1,01,A01
201100000225,0,20,000,00,2,3,06,B02
201100000225,0,32,000,00,2,2,01,A01
201100000226,0,07,000,02,0,3,01,A01
201100000227,0,07,000,02,0,7,01,A01
201100000228,0,07,000,02,0,1,15,A01
201100000229,0,15,000,00,0,0,01,A01
201100000230,0,07,000,16,0,9,01,A01
201100000231,0,07,000,16,0,1,01,A01
201100000232,0,07,000,00,1,3,15,A01
201100000233,0,07,000,06,0,1,15,A01
201100000234,0,07,000,02,0,8,13,A01
201100000235,0,07,000,00,2,1,00,A01
201100000235,0,31,000,00,0,7,00,B02
201100000236,0,07,000,00,0,7,24,A01
201100000236,0,31,000,01,0,1,15,B02
201100000237,0,07,000,04,0,2,01,A01
201100000238,0,07,000,00,1,2,01,A01
201100000239,0,07,000,00,0,3,13,A01
201100000239,0,01,000,00,2,1,01,B02
201100000240,0,07,000,00,1,3,01,A01
201100000241,0,07,000,00,1,3,21,A01
201100000242,0,07,000,02,0,1,01,A01
201100000243,0,07,000,02,0,2,01,A01
201100000244,0,07,000,00,1,8,01,A01
201100000245,0,33,000,00,0,7,01,A01
201100000246,0,07,000,00,2,2,17,B02
201100000246,0,07,000,00,0,6,02,A01
201100000247,0,33,000,08,0,9,01,A01
201100000248,0,07,000,00,0,1,13,A01
201100000249,0,30,000,00,2,1,17,A01
201100000249,0,07,000,00,2,3,01,B02
201100000250,0,07,000,02,0,1,01,A01
201100000251,0,07,000,00,9,7,01,B02
201100000251,0,01,000,00,2,1,01,A01
201100000252,0,07,000,00,2,3,13,A01
201100000252,0,21,000,00,2,6,01,B02
201100000253,0,07,000,00,2,1,13,A01
201100000253,0,07,000,00,2,1,01,B02
201100000254,0,15,000,00,2,2,01,B02
201100000254,0,07,000,00,2,1,19,A01
201100000255,0,31,000,12,0,1,21,A01
201100000256,0,07,000,08,0,2,01,A01
201100000257,0,07,000,06,0,2,01,A01
201100000258,0,07,000,00,0,5,00,A01
201100000259,0,07,000,00,2,8,12,B02
201100000259,0,07,000,02,2,7,17,A01
201100000260,0,02,000,00,0,4,13,B02
201100000260,0,07,000,00,0,2,17,A01
201100000261,0,07,000,00,1,2,01,A01
201100000262,0,07,000,00,2,8,19,A01
201100000262,0,33,000,00,2,1,01,B02
201100000263,0,07,000,02,0,9,21,A01
201100000264,0,30,000,00,2,1,06,A01
201100000264,0,30,000,00,2,1,01,B02
201100000265,0,07,000,13,0,1,14,A01
201100000266,0,07,000,00,1,2,02,A01
201100000267,0,02,000,00,2,1,17,B02
201100000267,0,07,000,00,0,6,15,A01
201100000268,0,30,000,00,2,1,15,A01
201100000269,0,02,000,00,2,1,01,B02
201100000269,1,07,000,00,2,3,13,A01
201100000270,0,07,000,00,2,3,15,B02
201100000270,0,33,000,00,2,3,01,A01
201100000271,0,07,000,00,2,2,09,A01
201100000271,0,02,000,00,2,3,01,B02
201100000272,0,33,000,00,2,1,01,A01
201100000272,0,07,000,00,2,7,15,B02
201100000273,0,07,000,00,1,1,01,A01
201100000274,0,07,000,00,2,2,15,A01
201100000274,0,07,000,00,2,3,01,B02
201100000275,0,01,000,00,2,8,01,B02
201100000275,0,07,000,00,2,8,13,A01
201100000276,0,07,000,00,2,1,02,B02
201100000276,0,33,000,13,2,3,01,C03
201100000276,0,07,000,08,2,4,15,A01
201100000277,0,07,000,00,1,2,01,A01
201100000278,0,07,000,00,2,3,01,A01
201100000278,0,07,000,00,2,1,15,B02
201100000279,0,10,000,00,2,4,15,A01
201100000279,0,33,000,00,2,1,02,B02
201100000280,0,02,000,00,2,2,17,A01
201100000280,0,07,000,00,2,3,15,B02
201100000281,0,33,000,03,0,1,01,A01
201100000282,0,07,000,15,1,1,14,A01
201100000283,0,07,000,00,2,2,01,A01
201100000283,0,01,000,00,0,4,01,B02
201100000284,0,07,000,08,0,8,01,A01
201100000285,0,33,000,00,0,4,02,B02
201100000285,0,33,000,00,0,1,02,A01
201100000286,0,07,000,00,2,8,01,C03
201100000286,0,07,000,00,2,3,01,A01
201100000286,0,07,000,03,2,3,01,B02
201100000287,0,07,000,08,2,2,01,B02
201100000287,0,07,000,00,2,3,19,A01
201100000288,0,07,000,08,0,7,13,A01
201100000289,0,07,000,13,0,1,00,A01
201100000290,0,07,000,00,2,6,01,A01
201100000290,0,07,000,00,2,3,01,B02
201100000291,0,07,000,02,0,3,01,A01
201100000292,0,07,000,00,0,2,01,A01
201100000292,0,01,000,00,2,1,09,B02
201100000293,0,07,000,00,2,1,01,A01
201100000293,0,30,000,00,2,5,19,B02
201100000294,0,07,000,01,0,1,13,A01
201100000295,0,10,000,00,2,3,01,B02
201100000295,0,10,000,00,2,2,19,A01
201100000296,0,07,000,00,2,3,15,A01
201100000296,0,33,000,00,2,1,01,B02
201100000297,0,10,000,02,0,7,00,A01
201100000298,0,07,000,00,2,4,01,B02
201100000298,0,07,000,00,2,1,02,A01
201100000299,0,07,000,08,0,7,00,A01
201100000300,0,07,000,00,6,1,01,A01
201100000301,0,33,000,00,2,8,01,B02
201100000301,0,07,000,00,0,3,15,A01
201100000302,0,07,000,00,1,1,01,A01
201100000303,0,07,000,00,2,1,01,B02
201100000303,0,07,000,00,2,1,01,A01
201100000304,0,10,000,00,6,1,01,A01
201100000305,0,07,000,00,2,7,19,A01
201100000305,0,33,000,00,2,1,01,B02
201100000306,0,07,000,00,2,1,17,A01
201100000306,0,36,000,00,2,6,15,B02
201100000307,0,07,000,00,1,1,01,A01
201100000308,0,02,000,00,2,1,13,A01
201100000308,0,07,000,00,2,1,01,B02
201100000309,0,31,000,01,2,1,01,A01
201100000309,0,07,000,00,2,3,16,B02
201100000310,0,07,000,00,2,1,05,A01
201100000310,0,30,000,00,2,1,01,B02
201100000311,0,07,000,00,2,2,01,A01
201100000311,0,02,000,00,2,1,15,B02
201100000312,0,07,000,02,0,8,19,A01
201100000313,0,07,000,00,9,2,02,A01
201100000313,0,01,000,00,2,4,02,B02
201100000314,0,33,000,00,0,0,01,A01
201100000315,0,30,000,09,0,1,01,A01
201100000316,0,07,000,00,2,2,01,A01
201100000316,0,02,000,00,0,4,01,B02
201100000317,0,07,000,00,2,2,01,A01
201100000317,0,07,000,00,2,8,16,B02
201100000318,0,07,000,02,0,8,17,A01
201100000319,0,10,000,00,2,6,00,B02
201100000319,0,07,000,00,2,3,13,A01
201100000320,0,33,000,00,2,1,01,B02
201100000320,0,07,000,00,2,1,15,A01
201100000321,0,07,000,00,1,2,14,A01
201100000322,0,07,000,00,9,2,02,A01
201100000322,0,01,000,00,0,4,02,B02
201100000323,0,07,000,00,2,3,01,B02
201100000323,0,07,000,00,2,3,13,A01
201100000324,0,07,000,02,0,1,01,A01
201100000325,0,07,000,00,2,6,15,A01
201100000325,0,31,000,00,2,1,01,B02
201100000326,0,02,000,00,2,1,00,A01
201100000326,0,10,000,00,2,3,00,B02
201100000327,0,07,000,00,0,8,15,A01
201100000327,0,33,000,00,2,1,01,B02
201100000328,0,30,000,00,2,1,01,B02
201100000328,0,07,000,00,9,2,15,A01
201100000329,0,07,000,00,1,2,05,A01
201100000330,0,07,000,00,2,2,17,A01
201100000330,0,21,000,00,2,3,15,B02
201100000331,0,07,000,00,2,2,15,B02
201100000331,0,01,000,00,2,1,01,A01
201100000332,0,07,000,00,9,1,09,A01
201100000332,0,01,000,00,2,7,01,B02
201100000333,0,07,000,02,0,7,01,A01
201100000334,0,07,000,00,1,3,00,A01
201100000335,0,31,000,00,0,7,15,B02
201100000335,0,07,000,00,0,1,23,A01
201100000336,0,02,000,08,0,1,01,A01
201100000337,0,07,000,00,2,2,13,A01
201100000337,0,07,000,00,2,2,01,B02
201100000338,0,07,000,00,2,1,17,A01
201100000338,0,07,000,00,2,1,01,B02
201100000339,0,07,000,00,1,2,01,A01
201100000340,0,02,000,00,2,1,02,B02
201100000340,0,07,000,00,0,5,00,A01
201100000341,0,15,000,00,0,6,23,A01
201100000341,0,10,000,00,0,3,01,B02
201100000342,0,07,000,00,1,3,01,A01
201100000343,0,07,000,02,0,1,13,A01
201100000344,0,07,000,00,2,3,13,A01
201100000344,0,07,000,00,2,3,01,B02
201100000345,0,30,000,00,0,8,16,A01
201100000345,0,14,000,00,0,0,16,B02
201100000346,0,16,000,00,0,0,16,A01
201100000347,0,07,000,00,2,1,01,A01
201100000347,0,01,000,00,2,1,01,B02
201100000348,0,07,000,00,0,2,02,A01
201100000348,0,01,000,00,0,6,02,B02
201100000349,0,07,000,00,2,3,11,A01
201100000349,0,02,000,00,2,7,01,B02
201100000350,0,31,000,00,2,1,05,A01
201100000350,0,07,000,00,2,1,01,B02
201100000351,0,07,000,00,0,1,02,A01
201100000351,0,01,000,00,0,4,02,B02
201100000352,0,07,000,00,1,1,01,A01
201100000353,0,07,000,06,0,8,01,A01
201100000354,0,07,000,00,2,3,13,A01
201100000354,0,07,000,00,2,3,01,B02
201100000354,0,07,000,00,2,8,01,C03
201100000355,0,07,000,16,0,1,01,A01
201100000356,0,07,000,00,0,0,01,A01
201100000357,0,07,000,00,2,2,01,A01
201100000357,0,33,000,00,2,8,01,B02
201100000358,0,07,000,05,0,2,00,A01
201100000359,0,01,000,00,2,4,02,A01
201100000359,0,07,000,00,2,1,01,B02
201100000360,0,07,000,02,0,8,01,A01
201100000361,0,07,000,02,0,1,00,A01
201100000362,0,07,000,00,2,5,19,A01
201100000362,0,07,000,00,2,1,01,B02
201100000363,0,07,000,00,2,8,19,A01
201100000363,0,07,000,00,2,1,01,B02
201100000364,0,07,000,00,2,3,01,A01
201100000364,0,07,000,00,0,3,01,B02
201100000365,0,07,000,13,0,1,01,A01
201100000366,0,07,000,00,2,1,01,A01
201100000366,0,07,000,00,2,1,01,B02
201100000367,0,07,000,06,0,1,16,A01
201100000368,0,07,000,00,2,1,19,B02
201100000368,0,07,000,00,2,8,01,A01
201100000369,0,07,000,02,0,1,13,A01
201100000370,0,07,000,02,0,2,14,A01
201100000371,0,07,000,00,1,3,02,A01
201100000372,0,07,000,00,0,5,01,A01
201100000372,0,01,000,00,2,1,01,B02
201100000373,0,07,000,02,0,1,13,A01
201100000374,0,07,000,13,0,2,01,A01
201100000375,0,36,000,13,0,9,01,A01
201100000376,0,02,000,00,2,7,19,B02
201100000376,0,07,000,00,0,2,01,A01
201100000377,0,07,000,00,1,7,01,A01
201100000378,0,07,000,02,0,8,00,A01
201100000379,0,07,000,00,2,1,01,A01
201100000379,0,07,000,00,2,8,09,B02
201100000380,0,33,000,00,2,1,02,C03
201100000380,0,07,000,00,2,6,23,B02
201100000380,0,33,000,14,0,1,02,A01
201100000381,0,07,000,00,2,1,01,A01
201100000381,0,14,000,00,0,4,00,B02
201100000382,0,07,000,00,2,2,19,A01
201100000382,0,07,000,00,2,3,01,B02
201100000383,0,07,000,00,1,2,01,A01
201100000384,0,31,000,00,2,2,03,B02
201100000384,0,07,000,00,2,3,19,A01
201100000385,0,07,000,00,0,9,17,A01
201100000386,0,07,000,02,0,1,14,A01
201100000387,0,01,000,00,2,0,13,B02
201100000387,0,07,000,00,2,1,01,A01
201100000388,0,07,000,00,2,2,16,A01
201100000388,0,33,000,00,2,1,01,B02
201100000389,0,07,000,00,2,7,19,A01
201100000389,0,10,000,00,2,1,01,B02
201100000390,0,07,000,00,2,3,19,A01
201100000390,0,02,000,00,2,1,01,B02
201100000391,0,14,000,00,2,5,15,A01
201100000391,0,07,000,00,2,3,01,B02
201100000392,0,33,000,00,2,1,01,B02
201100000392,0,07,000,00,0,8,10,A01
201100000393,0,07,000,00,2,1,01,B02
201100000393,0,07,000,00,2,7,13,A01
201100000394,0,30,000,00,2,3,23,B02
201100000394,0,07,000,00,2,0,13,A01
201100000395,0,07,000,00,0,4,23,B02
201100000395,0,07,000,00,2,1,01,A01
201100000396,0,07,000,00,2,2,17,A01
201100000396,0,07,000,00,2,2,02,B02
201100000397,0,07,000,00,2,2,00,A01
201100000397,0,01,000,00,2,1,00,B02
201100000398,0,07,000,00,1,3,01,A01
201100000399,0,07,000,00,2,1,13,A01
201100000399,0,07,000,00,2,1,01,B02
201100000400,0,07,000,00,2,4,01,B02
201100000400,0,31,000,00,2,1,02,A01
201100000401,0,10,000,00,2,8,20,A01
